"","Calculate.part.in.proportion.with.fractions","Calculate.total.in.proportion.with.fractions","Choose.operator.in.fractional.identity","Enter.Calculated.value.of.rate","Enter.Calculated.value.of.ratio","Enter.denominator.of.form.of.1","Enter.denominator.of.given.fraction.in.proportion","Enter.denominator.of.given.rate.in.proportion","Enter.denominator.of.given.unit.rate.in.proportion","Enter.given.part.in.proportion","Enter.given.total.in.proportion","Enter.numerator.of.form.of.1","Enter.numerator.of.given.fraction.in.proportion","Enter.numerator.of.given.rate.in.proportion","Enter.numerator.of.given.unit.rate.in.proportion","Enter.part.in.proportion.with.variable","Enter.proportion.label.in.denominator","Enter.proportion.label.in.numerator","Enter.total.in.proportion.with.variable"
"stu_184046d7dc.1",1,0.875,1,1,1,0.9375,1,1,1,1,1,0.9375,0.333333333333333,1,1,0.714285714285714,0.933333333333333,0.666666666666667,0.666666666666667
"stu_343a25db80",1,0.777777777777778,1,0.888888888888889,1,0.928571428571429,0.75,0.8,1,0.888888888888889,1,1,1,1,0.8,1,1,0.857142857142857,0.777777777777778
"stu_60ce9ab607.1",0.666666666666667,1,1,1,1,1,0.666666666666667,1,0,0.5,1,0.8,0,1,1,1,0.8,0.75,1
"stu_32d8c0679c",0.857142857142857,1,1,0.857142857142857,0.8,0.916666666666667,0.666666666666667,0.75,1,1,0.857142857142857,0.833333333333333,0.6,1,1,0.833333333333333,0.833333333333333,0.583333333333333,1
"stu_a720db539e",1,1,1,1,1,0.833333333333333,1,1,1,0.625,1,0.916666666666667,0.6,1,1,0.8,1,1,0.714285714285714
"stu_480ee224fd",0,1,1,0.875,0.833333333333333,0.545454545454545,0.833333333333333,0.666666666666667,0.8,0.8,0.714285714285714,0.5,0.833333333333333,1,0.75,0.714285714285714,0.928571428571429,1,0.333333333333333
"stu_cce5f0b226.1",0.875,1,1,1,0.857142857142857,0.933333333333333,0.714285714285714,1,1,0.833333333333333,0.666666666666667,0.8125,0.666666666666667,0.8,0.75,0.75,0.875,0.8125,0.714285714285714
"stu_f48921f080.1",0.875,1,1,0.875,1,0.923076923076923,0.8,1,0.8,1,0.875,0.923076923076923,0.8,1,1,0.625,0.923076923076923,0.923076923076923,1
"stu_37444d36f6.2",1,1,1,1,1,0.923076923076923,0.714285714285714,0.75,1,0.8,1,0.923076923076923,0.25,1,0.666666666666667,0.857142857142857,0.923076923076923,1,0.666666666666667
"stu_37444d36f6.3",1,1,1,1,1,0.923076923076923,0.714285714285714,0.75,1,0.8,1,0.923076923076923,0.25,1,0.666666666666667,0.857142857142857,0.923076923076923,1,0.666666666666667
"stu_dd30e1fd88.1",0.777777777777778,0.571428571428571,1,0.9,0.833333333333333,0.9375,0.666666666666667,0.6,0.666666666666667,0.714285714285714,0.9,0.9375,0.5,1,0.571428571428571,0.6,1,0.941176470588235,0.714285714285714
"stu_44842d5a1a",0.625,1,1,1,1,0.727272727272727,1,1,0.833333333333333,1,1,0.75,0.5,1,0.333333333333333,1,0.916666666666667,1,1
"stu_4e7f1daf0e.1",0.857142857142857,1,1,0.833333333333333,1,0.8,0.6,1,1,0.875,1,0.857142857142857,0.333333333333333,1,1,0.75,0.9375,0.466666666666667,0.5
"stu_b039b20626",0.333333333333333,0.714285714285714,1,0.777777777777778,1,0.8125,0.75,1,0.571428571428571,0.666666666666667,0.9,0.933333333333333,0.285714285714286,1,0.428571428571429,0.5,1,0.875,0.6
"stu_ea49cd6f86.1",0.571428571428571,0.875,1,1,1,0.923076923076923,0.875,1,1,1,1,0.538461538461538,0.5,0.75,1,0.857142857142857,1,0.866666666666667,0.625
"stu_351c2f582a.1",1,1,1,0.875,1,0.857142857142857,0.75,1,0.6,0.714285714285714,1,0.933333333333333,0.5,1,1,1,1,1,0.571428571428571
"stu_355d79e2db.1",0.714285714285714,0.714285714285714,1,0.818181818181818,1,0.928571428571429,1,0.833333333333333,0.6,1,1,0.928571428571429,1,0.5,0.8,0.571428571428571,1,0.928571428571429,1
"stu_fc3841718f.2",1,1,1,1,1,0.9375,0.9,1,0.666666666666667,1,0.875,0.9375,0.285714285714286,1,1,1,0.9375,0.733333333333333,0.8
"stu_dd767411eb",0.666666666666667,1,1,1,1,0.933333333333333,0.714285714285714,1,0.75,0.833333333333333,1,0.866666666666667,0.571428571428571,1,0.6,0.777777777777778,0.933333333333333,1,0.8
"stu_3c2d5caa5b",0.666666666666667,1,1,1,0.666666666666667,0.8,0.666666666666667,1,0,0.5,1,0.8,0.666666666666667,1,1,1,1,0.8,1
"stu_748bf7363f.1",0.8,0.833333333333333,1,0.875,1,0.916666666666667,0.6,1,1,0.8,0.666666666666667,0.818181818181818,0.75,1,1,0.833333333333333,0.923076923076923,0.833333333333333,0.714285714285714
"stu_1ac47ff45c.1",1,0.6,1,1,1,0.875,0.75,1,1,1,0.75,0.75,1,1,1,0.75,1,1,1
"stu_a314e2cc1c",1,0.5,1,1,1,1,1,1,1,0.75,1,1,0.666666666666667,1,1,0.75,1,1,0.75
"stu_a27ef03c3c.2",0.75,1,1,1,1,1,1,1,0.666666666666667,1,1,1,0.5,1,0.666666666666667,0.75,1,0.857142857142857,1
"stu_15e76e3ad2.1",1,1,1,0.833333333333333,0.8,0.727272727272727,0.8,1,0.75,1,1,0.818181818181818,0.6,1,1,1,0.818181818181818,0.818181818181818,0.8
"stu_f9b4acb7bc.3",0.5,1,1,1,1,0.571428571428571,1,1,0.75,0.666666666666667,0.428571428571429,0.5,0.666666666666667,1,0.5,0.625,1,0.727272727272727,0.666666666666667
"stu_91e308c037.1",0.6,0.8,1,1,1,0.923076923076923,0.6,1,0.75,0.666666666666667,0.875,1,0.285714285714286,1,1,1,0.9375,0.875,1
"stu_7d2fd7fb40.1",0.4,0.75,1,1,0.857142857142857,0.538461538461538,0.571428571428571,1,1,0.5,0.444444444444444,0,0.333333333333333,1,0.75,0.888888888888889,1,0.714285714285714,1
"stu_e9112d2c0c",0.833333333333333,0.75,1,1,1,1,1,0.75,1,1,1,1,0.666666666666667,1,0.75,0.857142857142857,1,1,1
"stu_959ddba33e",0.8,1,1,1,1,1,0.666666666666667,0.75,1,1,0.7,0.75,0.5,0.75,1,0.2,0.9375,1,0.4
"stu_0de793897f",1,1,1,0.666666666666667,1,1,0.5,1,1,1,1,0.875,0.4,1,1,0.75,1,1,0.25
"stu_20eb4dd0fd.1",1,0.888888888888889,1,1,1,1,0.833333333333333,0.8,1,0.857142857142857,0.857142857142857,1,0.6,0.8,1,0.714285714285714,0.875,0.875,0.666666666666667
"stu_a720db539e.1",1,1,1,1,1,0.833333333333333,1,1,1,0.625,1,0.916666666666667,0.6,1,1,0.8,1,1,0.714285714285714
"stu_8249ba0e39.2",1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1
"stu_47459ef192",1,1,1,1,1,1,0.833333333333333,1,0.8,0.833333333333333,0.888888888888889,0.875,0.6,0.75,0.75,0.9,1,0.933333333333333,1
"stu_8ac43157b5.2",1,1,1,1,1,1,0.75,0.75,1,1,0.857142857142857,1,1,1,0.75,0.857142857142857,0.75,1,0.8
"stu_3bf595f287.1",0,0,1,1,1,0.666666666666667,1,0,1,0,0.5,0.428571428571429,0.5,1,0.666666666666667,0.4,0.777777777777778,0.777777777777778,0.5
"stu_fea015c39e",0.857142857142857,1,1,0.888888888888889,1,1,1,0.8,1,0.714285714285714,1,0.923076923076923,0.75,0.75,1,1,1,0.928571428571429,0.714285714285714
"stu_07210d4475",0.875,0.571428571428571,1,1,0.875,0.923076923076923,0.625,1,0.6,1,0.75,0.642857142857143,0.571428571428571,1,0.8,0.875,1,0.8125,1
"stu_6ee4e5ebf8.2",0.833333333333333,0.875,1,1,1,0.928571428571429,0.8,1,0.666666666666667,0.75,0.833333333333333,1,1,1,0.833333333333333,0.857142857142857,1,1,0.875
"stu_1846b74ba8.2",0.666666666666667,0.4,1,0.909090909090909,1,0.857142857142857,1,1,0.833333333333333,0.857142857142857,0.857142857142857,0.764705882352941,0.5,0.75,0.666666666666667,0.714285714285714,1,0.882352941176471,0.8
"stu_465e4b4327.2",0.555555555555556,0.714285714285714,1,0.833333333333333,0.9,1,0.444444444444444,1,1,0.8,1,1,0.333333333333333,1,1,0.777777777777778,0.533333333333333,0.466666666666667,1
"stu_8b440e6452.1",1,0.875,1,0.888888888888889,0.857142857142857,0.9375,0.875,0.666666666666667,1,0.875,0.888888888888889,0.9375,0.333333333333333,0.666666666666667,0.5,0.666666666666667,1,1,0.75
"stu_a83bb718da.3",0.5,0.571428571428571,1,1,0.833333333333333,0.727272727272727,0.714285714285714,0.666666666666667,0.75,0.857142857142857,1,0.3,0.5,0.666666666666667,1,0.8,1,0.461538461538462,0.5
"stu_ab5751fc55.1",1,0.625,1,1,1,0.909090909090909,0.75,1,1,1,1,1,0.25,1,1,0.75,1,1,0.714285714285714
"stu_cc28123425.2",0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1
"stu_f772a32a93",0.8,0.8,1,1,1,1,0.8,0.666666666666667,1,0.75,0.625,0.933333333333333,0.6,1,0.75,0.75,1,1,1
"stu_601d01cdcb.1",0.875,0.875,1,1,1,1,0.666666666666667,0.75,0.6,1,1,1,0.6,1,0.833333333333333,0.75,1,0.875,1
"stu_3dcfdac6a5",1,1,1,1,1,1,1,1,0.714285714285714,0.777777777777778,1,0.769230769230769,1,1,0.6,0.75,1,0.857142857142857,0.75
"stu_d311c6fc2a",1,1,1,1,1,1,0.833333333333333,1,1,1,1,0.8125,0.333333333333333,0.6,0.5,0.75,0.9375,0.75,0.666666666666667
"stu_280f691d84.1",0.833333333333333,0.8,1,1,1,0.5,0.666666666666667,1,1,1,0.833333333333333,0.666666666666667,0.8,1,1,1,1,1,0.75
"stu_836edcbeae",0.666666666666667,0.5,1,1,1,0.727272727272727,0.6,1,1,0.5,0.75,0.384615384615385,0.75,0.666666666666667,1,0.875,0.875,0.8125,1
"stu_a50690c3e8.3",0.833333333333333,0.888888888888889,1,1,0.833333333333333,0.866666666666667,1,1,0.833333333333333,0.888888888888889,1,0.857142857142857,0.666666666666667,1,0.714285714285714,0.833333333333333,0.933333333333333,0.933333333333333,0.777777777777778
"stu_090cac8c63.2",0.888888888888889,1,1,1,1,0.941176470588235,1,1,0.75,0.666666666666667,0.888888888888889,0.9375,0.666666666666667,1,0.444444444444444,0.636363636363636,1,0.941176470588235,0.625
"stu_7a4a110893.1",0.75,0.8,1,0.818181818181818,1,0.818181818181818,1,0.666666666666667,0.625,0.444444444444444,0.8,0.642857142857143,0.666666666666667,1,0.375,1,0.933333333333333,0.571428571428571,0.888888888888889
"stu_b707626a5d.1",0.333333333333333,1,1,0.8,1,1,1,0.666666666666667,0.6,1,1,0.5,0.5,1,0.8,0.75,1,0.9,0.75
"stu_6396e81d6d.1",0.8,1,1,1,1,1,1,0.666666666666667,0.75,0.6,1,0.888888888888889,0.666666666666667,1,0.666666666666667,1,1,1,1
"stu_5b1b90a6c0",1,1,1,1,1,0.928571428571429,0.714285714285714,1,1,0.875,1,0.8,0.8,1,0.6,0.875,0.8125,0.6875,0.75
"stu_d4acba0582",0.75,1,1,1,1,1,1,1,1,0.666666666666667,1,1,0.5,1,0.666666666666667,1,1,0.857142857142857,1
"stu_c8f597bfef",1,0.5,1,1,1,0.8,1,1,1,1,0,0.6,1,1,1,0.666666666666667,1,1,0
"stu_9e5435f715",0.75,0.8,1,1,1,1,1,0.5,1,1,0.75,1,0.666666666666667,1,0.666666666666667,0.75,1,0.571428571428571,0.8
"stu_6e7435f138",1,1,1,1,1,0.818181818181818,1,1,1,1,1,0.933333333333333,0.571428571428571,1,1,1,1,0.933333333333333,1
"stu_43308b3261.1",0.2,1,1,1,1,0.833333333333333,0.666666666666667,1,0.5,0.666666666666667,0.75,0.666666666666667,0.25,1,1,0.5,1,0.5,0.75
"stu_7df6b76712.2",0.714285714285714,1,1,1,1,1,1,1,0.8,1,1,0.857142857142857,0.666666666666667,1,1,0.727272727272727,1,1,0.833333333333333
"stu_3e41bb3a61.1",0.8,0.833333333333333,1,1,1,1,1,1,1,1,1,0.888888888888889,0.6,1,1,0.833333333333333,0.833333333333333,1,1
"stu_a5a9b17c65",0.571428571428571,0.9,1,1,1,0.933333333333333,0.75,1,0.666666666666667,0.888888888888889,0.571428571428571,0.8125,0.181818181818182,0.75,1,0.714285714285714,1,0.714285714285714,0.888888888888889
"stu_596cf226e1.1",0.666666666666667,0.9,1,1,1,0.928571428571429,0.625,1,1,1,1,0.8125,0.666666666666667,1,0.8,0.666666666666667,0.9375,0.875,0.6
"stu_fdc4ba28d7.1",0.875,1,1,1,1,0.923076923076923,0.6,1,1,1,1,0.769230769230769,1,0.5,1,0.714285714285714,1,0.769230769230769,1
"stu_616ff9173e.1",0,0,1,1,0.5,0.333333333333333,0.5,0.5,0.5,0.333333333333333,1,0.25,0.5,1,0,1,1,0.666666666666667,1
"stu_bb7f789f67.2",1,1,1,1,1,1,0.75,1,1,1,0.75,1,0.5,1,0.333333333333333,1,1,1,1
"stu_7c8792abcd.1",1,1,1,0.888888888888889,1,0.857142857142857,0.5,0.666666666666667,0,0.857142857142857,0.833333333333333,0.6,0.166666666666667,1,0.666666666666667,0.666666666666667,0.928571428571429,0.928571428571429,0.666666666666667
"stu_59e3611d77",1,0.714285714285714,1,1,1,0.909090909090909,0.666666666666667,0.666666666666667,1,1,0.666666666666667,0.733333333333333,0.666666666666667,1,0.5,1,1,0.6875,0.625
"stu_20bbbbbc19.1",0.666666666666667,0.333333333333333,1,0.8,1,0.75,0.666666666666667,1,0.8,0.6,0.333333333333333,0.857142857142857,0,1,0.5,0.5,1,1,0.8
"stu_088f865868",0.666666666666667,0.6,1,1,0.8,0.888888888888889,0.75,1,0.8,0.625,0.857142857142857,0.5,0.4,0.75,0.666666666666667,0.714285714285714,0.928571428571429,0.933333333333333,1
"stu_6ee4e5ebf8.3",0.833333333333333,0.875,1,1,1,0.928571428571429,0.8,1,0.666666666666667,0.75,0.833333333333333,1,1,1,0.833333333333333,0.857142857142857,1,1,0.875
"stu_87608f15bd.1",0.9,1,1,1,1,0.9375,0.666666666666667,1,0.8,0.666666666666667,0.666666666666667,1,1,0.75,1,0.8,1,0.933333333333333,0.8
"stu_8dfcdbff60",0.714285714285714,0.777777777777778,1,1,1,0.9375,0.833333333333333,1,0.666666666666667,0.888888888888889,1,0.875,0.272727272727273,1,0.666666666666667,0.571428571428571,0.8125,0.5625,0.888888888888889
"stu_9864e2d9c9.1",0.833333333333333,0.666666666666667,1,1,1,0.4,0.666666666666667,1,0.5,0.666666666666667,0.833333333333333,0.777777777777778,1,0.666666666666667,1,0.8,1,0.888888888888889,1
"stu_662b920f70.3",0.875,0.666666666666667,1,0.909090909090909,0.6,1,1,0.8,0.8,0.75,1,0.857142857142857,1,1,0.8,1,1,0.9375,1
"stu_5b02358df3",1,0.888888888888889,1,1,1,1,0.571428571428571,0.666666666666667,0.333333333333333,0.8,0.833333333333333,0.8,0.571428571428571,0.666666666666667,0.833333333333333,0.833333333333333,0.875,0.9375,0.7
"stu_c1ccc626b7.3",1,1,1,1,1,1,0.8,1,1,1,1,0.928571428571429,0.6,0.75,0.8,0.666666666666667,1,1,0.625
"stu_c81e7ef5da.3",1,1,1,1,0.9,1,1,1,1,0.666666666666667,0.9,0.9375,0.272727272727273,1,0.75,0.9,1,0.941176470588235,1
"stu_6f135d1ed4",1,0.857142857142857,1,1,1,1,0.833333333333333,0.666666666666667,0.428571428571429,0.857142857142857,0.857142857142857,0.9375,0.5,1,0.666666666666667,0.666666666666667,0.875,0.733333333333333,0.571428571428571
"stu_7eff5f4168.1",1,0.75,1,1,0.833333333333333,1,0.5,0.5,1,1,0.75,1,0.5,0.666666666666667,1,0.571428571428571,0.818181818181818,0.9,0.666666666666667
"stu_ff32c3fb99.1",0.857142857142857,1,1,1,0.8,1,0.6,0.666666666666667,1,1,1,0.909090909090909,0.5,0.333333333333333,0.666666666666667,0.571428571428571,1,0.909090909090909,0.75
"stu_f49cda7df0",1,0.833333333333333,1,1,1,0.857142857142857,0.75,1,0.6,1,0.75,0.545454545454545,1,1,0.666666666666667,0.75,1,0.833333333333333,0.333333333333333
"stu_0b451f30af.3",1,0.75,1,1,1,1,1,0.8,1,0.875,0.833333333333333,0.928571428571429,0.666666666666667,1,1,1,0.928571428571429,1,0.625
"stu_c11f68bfaa.2",0.375,0.625,1,0.888888888888889,0.857142857142857,0.933333333333333,0.285714285714286,1,0.428571428571429,0.375,0.75,1,0.285714285714286,0.5,0.428571428571429,1,0.6875,0.5625,0.875
"stu_fd185b90dd.3",0.75,1,1,1,0.333333333333333,1,1,1,1,0.75,0.75,1,0.666666666666667,1,1,0.5,0.875,1,0.5
"stu_9be4276a64.2",0.857142857142857,0.888888888888889,1,1,0.875,1,0.666666666666667,0.75,0.75,1,1,0.9375,0.333333333333333,1,1,0.625,1,1,0.666666666666667
"stu_2c2121b8dc",0.666666666666667,0.857142857142857,1,1,1,0.882352941176471,1,1,0.8,0.714285714285714,1,0.875,0.666666666666667,0.333333333333333,0.5,0.727272727272727,0.9375,0.875,0.714285714285714
"stu_2c9507692a",0.8,0.7,1,1,0.875,0.941176470588235,0.875,1,0.571428571428571,0.583333333333333,0.6,0.875,0.375,1,0.571428571428571,0.8,0.823529411764706,0.470588235294118,0.833333333333333
"stu_63f6000c73.1",1,0.8,1,0.857142857142857,0.833333333333333,0.833333333333333,0.875,0.75,1,0.8,0.714285714285714,0.4375,0.285714285714286,0.75,1,0.714285714285714,0.9375,0.875,1
"stu_06dd0bfc8d.1",0.714285714285714,0.555555555555556,1,0.9,1,0.923076923076923,1,1,0.6,0.875,0.75,0.8,0.75,1,0.6,0.555555555555556,0.933333333333333,0.9375,0.666666666666667
"stu_39c38dfbb8.2",0.625,1,1,1,1,0.928571428571429,0.833333333333333,1,0.8,0.833333333333333,0.875,0.5,0.5,1,0.8,0.75,1,1,0.833333333333333
"stu_c481e8fbfc",0.888888888888889,1,1,1,1,0.9375,0.833333333333333,1,0.571428571428571,0.714285714285714,1,0.9375,0.666666666666667,1,0.857142857142857,0.777777777777778,1,0.9375,0.714285714285714
"stu_6a136c80e6.1",1,1,1,1,1,1,1,0.75,0.8,0.857142857142857,0.75,0.9375,0.5,1,1,0.714285714285714,1,1,0.833333333333333
"stu_e667568ca7",1,0.666666666666667,1,1,1,1,1,0.8,1,1,1,0.846153846153846,0.8,1,1,0.75,1,0.928571428571429,0.833333333333333
"stu_b5755053b2.2",0.6,0.8,1,1,1,0.875,0.75,0.666666666666667,1,1,0.714285714285714,0.769230769230769,0.666666666666667,1,0.4,1,0.8,0.714285714285714,1
"stu_6ac75a294c",1,0.714285714285714,1,0.888888888888889,1,0.705882352941177,0.75,0.75,0.75,0.714285714285714,0.9,0.941176470588235,0.4,1,0.75,0.5,0.882352941176471,0.882352941176471,0.857142857142857
"stu_a94538a92b.1",0.333333333333333,1,1,0.888888888888889,0.75,0.666666666666667,1,1,0.25,0.333333333333333,0.555555555555556,0.333333333333333,0.5,0.5,1,0.444444444444444,0.846153846153846,0.583333333333333,0.666666666666667
"stu_662b920f70.4",0.875,0.666666666666667,1,0.909090909090909,0.6,1,1,0.8,0.8,0.75,1,0.857142857142857,1,1,0.8,1,1,0.9375,1
"stu_1534fd0e18.1",1,1,1,1,0.923076923076923,1,0.9,1,1,1,1,0.9375,0.181818181818182,1,1,0.833333333333333,0.8125,0.933333333333333,0.8
"stu_748a8b7c4b.1",1,0.888888888888889,1,0.909090909090909,1,0.8125,1,0.8,0.5,0.666666666666667,0.857142857142857,0.75,0.6,0.6,1,1,0.875,0.9375,0.625
"stu_b7ff98a6eb.3",0.888888888888889,0.857142857142857,1,0.9,1,0.933333333333333,0.6,0.8,0.666666666666667,1,1,0.785714285714286,1,0.75,1,0.625,0.8125,0.8,1
"stu_b9766e66ae.1",0.8,0.714285714285714,1,1,0.75,1,1,0.4,1,1,0.5,0.916666666666667,1,0.8,0.8,0.714285714285714,1,1,0.5
"stu_f8611f1ab0.1",0.5,0.5,1,1,0.875,0.75,0.875,1,0.75,0.666666666666667,0.6,0.75,0.444444444444444,0.75,0.75,0.7,1,0.8125,0.666666666666667
"stu_082a6e2b0b.1",1,1,1,1,1,1,1,1,0.75,0.8,1,1,1,1,1,1,1,1,1
"stu_fa2d7eb307",0.857142857142857,0.888888888888889,1,1,1,1,0.666666666666667,0.75,1,0.777777777777778,0.833333333333333,0.9375,0.666666666666667,1,1,1,1,0.933333333333333,0.777777777777778
"stu_8dc1680fd1.3",0.5,0.875,1,1,1,0.933333333333333,0.4,0.6,0.2,0.571428571428571,1,1,1,0.333333333333333,0.75,0.571428571428571,1,1,0.875
"stu_4893cbd47f.3",1,1,1,1,1,1,1,1,0.75,0.833333333333333,1,0.909090909090909,0.75,1,1,1,1,1,0.833333333333333
"stu_e2dc8a6b1f.1",1,1,1,1,0.888888888888889,1,0.625,1,0.8,1,0.833333333333333,1,0.5,1,0.75,0.833333333333333,1,1,0.9
"stu_8a7f1f00a5",0.875,0.875,1,1,1,0.9375,1,1,1,0.75,0.75,0.9375,0.428571428571429,0.75,0.75,0.75,0.875,0.9375,0.75
"stu_bdd2cb1fc5",1,0.857142857142857,1,1,1,0.857142857142857,0.625,1,0.833333333333333,0.714285714285714,1,0.8125,0.666666666666667,1,0.6,0.777777777777778,1,0.8125,0.8
"stu_9637f66b44.1",0.75,0.875,1,1,1,0.933333333333333,0.714285714285714,1,1,1,0.875,0.875,0.666666666666667,1,0.8,0.857142857142857,0.933333333333333,0.866666666666667,0.625
"stu_0371ed13d0.1",0.857142857142857,1,1,1,0.9,0.933333333333333,0.8,1,1,1,1,1,0.222222222222222,1,0.666666666666667,1,0.933333333333333,0.933333333333333,0.75
"stu_87ba5d2c13.1",1,0.888888888888889,1,1,1,1,0.833333333333333,1,1,1,1,1,0.8,1,1,0.75,0.923076923076923,1,0.888888888888889
"stu_c3cf46b0b6",0.4,0.666666666666667,1,0.75,0.75,0.75,0.5,1,1,1,0.8,0.777777777777778,0.25,1,0.5,0.8,1,0.5,1
"stu_d4acba0582.1",0.75,1,1,1,1,1,1,1,1,0.666666666666667,1,1,0.5,1,0.666666666666667,1,1,0.857142857142857,1
"stu_a3f83b425f",0.777777777777778,0.833333333333333,1,1,1,0.785714285714286,1,1,1,0.571428571428571,0.75,0.875,0.428571428571429,1,1,1,0.866666666666667,0.666666666666667,0.857142857142857
"stu_f595824852.2",1,1,1,1,1,1,1,1,1,0.666666666666667,1,0.75,1,1,1,1,1,0.4,0.666666666666667
"stu_e9f18511e7",1,0.8,1,1,1,1,1,1,0.666666666666667,1,1,1,0.5,1,1,0.75,0.888888888888889,1,0.8
"stu_a554e590da.2",0.5,0.5,1,1,1,1,1,1,1,1,1,0.785714285714286,0.5,1,1,0.857142857142857,0.642857142857143,0.625,1
"stu_b7c54a7461.1",0.875,0.833333333333333,1,1,1,0.923076923076923,0.571428571428571,1,1,0.833333333333333,1,0.785714285714286,0.8,1,1,0.875,1,0.785714285714286,1
"stu_dd9868a428",1,1,1,1,1,1,0.666666666666667,0.75,0.666666666666667,1,0.714285714285714,0.5,0.333333333333333,1,1,0.833333333333333,0.818181818181818,0.555555555555556,0
"stu_4893cbd47f.4",1,1,1,1,1,1,1,1,0.75,0.833333333333333,1,0.909090909090909,0.75,1,1,1,1,1,0.833333333333333
"stu_0d880b24dc.1",1,1,1,1,1,1,0.714285714285714,1,1,0.888888888888889,1,1,0.8,0.75,1,0.8,0.928571428571429,0.857142857142857,0.777777777777778
"stu_78ca24832a",1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,0.833333333333333,0.666666666666667,1
"stu_689a4721fc.1",0.875,1,1,0.7,0.8,0.833333333333333,0.6,0.5,0.25,0.75,0.444444444444444,0.769230769230769,0,0.5,0.4,0.75,0.857142857142857,0.615384615384615,0.666666666666667
"stu_d067f74e3e.1",1,0,1,1,1,0.75,1,1,0.5,0.333333333333333,1,0,1,0.5,0,1,0.8,0.6,0.666666666666667
"stu_112062923d.1",0.875,1,1,0.875,1,0.8125,0.875,0.666666666666667,0.6,1,0.75,1,0.285714285714286,1,0.6,0.75,0.875,1,0.75
"stu_c081368e5e",1,1,1,0.777777777777778,1,1,1,1,1,1,1,0.933333333333333,0.5,1,0.666666666666667,0.75,1,1,0.857142857142857
"stu_ed4635e3e7.1",0,1,1,1,0.833333333333333,0.4,0.8,1,0.8,1,0.636363636363636,0.625,0.5,1,0.666666666666667,0.545454545454545,0.705882352941177,0.647058823529412,0.4
"stu_bde6c2b3a7.1",0.9,1,1,1,1,1,0.75,1,0.666666666666667,1,1,0.416666666666667,0.428571428571429,1,1,0.8,1,0.933333333333333,0.833333333333333
"stu_480ee224fd.1",0,1,1,0.875,0.833333333333333,0.545454545454545,0.833333333333333,0.666666666666667,0.8,0.8,0.714285714285714,0.5,0.833333333333333,1,0.75,0.714285714285714,0.928571428571429,1,0.333333333333333
"stu_0c4491e5f8",1,1,1,1,1,0.928571428571429,1,1,0.666666666666667,1,0.875,0.733333333333333,0.75,1,0.571428571428571,0.714285714285714,1,0.866666666666667,0.857142857142857
"stu_4fbf8a72bf.2",0.6,0.571428571428571,1,1,1,0.727272727272727,0.75,1,1,1,0.857142857142857,0.545454545454545,0.5,1,0.8,1,0.533333333333333,0.75,0.777777777777778
"stu_494d755674.3",1,0.875,1,0.875,1,0.9375,0.875,0.6,1,0.875,0.875,0.933333333333333,0.428571428571429,1,1,0.625,0.8125,0.6875,1
"stu_351c2f582a.2",1,1,1,0.875,1,0.857142857142857,0.75,1,0.6,0.714285714285714,1,0.933333333333333,0.5,1,1,1,1,1,0.571428571428571
"stu_0bf8b58842.1",0.8,1,1,1,1,1,0.75,1,1,1,1,0.777777777777778,0.75,1,1,0.8,0.888888888888889,1,0.75
"stu_112062923d.2",0.875,1,1,0.875,1,0.8125,0.875,0.666666666666667,0.6,1,0.75,1,0.285714285714286,1,0.6,0.75,0.875,1,0.75
"stu_4fbf8a72bf.3",0.6,0.571428571428571,1,1,1,0.727272727272727,0.75,1,1,1,0.857142857142857,0.545454545454545,0.5,1,0.8,1,0.533333333333333,0.75,0.777777777777778
"stu_7ba5546a74",0.833333333333333,1,1,0.833333333333333,1,0.909090909090909,0.6,1,0.75,1,1,0.909090909090909,0.4,1,0.5,0.333333333333333,0.909090909090909,0.909090909090909,0.6
"stu_9fc0247882.1",0.833333333333333,0.625,1,0.875,1,0.916666666666667,0.875,1,1,1,0.875,0.8,0.285714285714286,1,0.2,0.777777777777778,0.9375,0.823529411764706,0.5
"stu_5358ad2e70.1",1,1,1,1,1,1,0.818181818181818,1,1,1,0.818181818181818,0.941176470588235,0.272727272727273,0.75,0.75,0.727272727272727,0.944444444444444,0.888888888888889,0.75
"stu_f0c29d9d44.2",0.857142857142857,0.714285714285714,1,1,0.818181818181818,0.923076923076923,0.545454545454545,1,1,0.857142857142857,0.875,0.857142857142857,0.375,1,0.666666666666667,0.5,0.875,0.857142857142857,0.714285714285714
"stu_781b6b4826.2",1,1,1,1,1,1,0.666666666666667,1,1,1,1,0.4,1,1,1,1,0.6,1,0.5
"stu_8f2699f02c.1",1,0.888888888888889,1,1,1,0.769230769230769,0.8,0.75,1,0.666666666666667,1,0.785714285714286,1,0.75,0.75,1,0.928571428571429,0.785714285714286,1
"stu_8cc2cfe5fa.1",0.875,0.8,1,1,1,1,1,0.833333333333333,0.857142857142857,1,0.9,0.769230769230769,0.75,0.666666666666667,0.8,0.6,0.823529411764706,0.5625,0.857142857142857
"stu_7f4819cebe",0.875,0.75,1,1,0.875,0.875,1,1,0.6,1,0.75,0.8125,0.5,1,0.8,0.75,0.9375,0.875,0.875
