"","Calculate.decimal.from.given.improper.fraction","Calculate.decimal.from.given.mixed.number","Calculate.decimal.from.given.percent","Calculate.improper.fraction.from.given.decimal","Calculate.improper.fraction.from.given.mixed.number","Calculate.improper.fraction.from.given.percent","Calculate.numerator.of.mixed.number.from.given.decimal","Calculate.numerator.of.mixed.number.from.given.improper.fraction","Calculate.numerator.of.mixed.number.from.given.model","Calculate.numerator.of.mixed.number.from.given.percent","Calculate.percent.from.given.decimal","Calculate.percent.from.given.improper.fraction","Calculate.percent.from.given.mixed.number","Calculate.whole.number.part.of.mixed.number.from.given.decimal","Calculate.whole.number.part.of.mixed.number.from.given.improper.fraction","Calculate.whole.number.part.of.mixed.number.from.given.model","Calculate.whole.number.part.of.mixed.number.from.given.percent","Enter.decimal.from.given.model","Enter.given.decimal","Enter.given.improper.fraction","Enter.given.percent","Enter.improper.fraction.from.given.model","Enter.numerator.of.given.mixed.number","Enter.percent.from.given.model","Enter.whole.number.part.of.given.mixed.number","Identify.that.a.mixed.number.can.cannot.be.simplified","Identify.that.an.improper.fraction.can.cannot.be.simplified"
"stu_022b29a427.2",1,0.833333333333333,1,1,0.666666666666667,1,1,1,0.8,1,1,1,0.833333333333333,1,1,0.666666666666667,1,1,1,1,1,0.666666666666667,1,0.8,1,0.882352941176471,0.823529411764706
"stu_904e910737",1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_465e4b4327.2",0.75,1,0.8,1,1,1,1,1,1,1,1,0.75,1,1,0.75,1,0.75,0.75,1,1,1,1,1,1,1,0.933333333333333,0.8
"stu_5cfa832514.2",1,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1,0.8,1,1,1,0.6,1,1,1,0.833333333333333,0.611111111111111
"stu_0984e9de1b.1",0.75,1,1,1,1,1,1,0.8,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_46de1b053b.1",1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_067d36506b",0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,0.75,1,1,1,1,1,1,1
"stu_cb171ea081",0.75,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_81991bb530",0.8,0.857142857142857,0.75,1,0.666666666666667,1,0.5,1,1,0.6,1,0.8,1,0.5,0.75,1,0.6,1,1,0.8,1,1,1,1,1,0.789473684210526,0.842105263157895
"stu_6ba3f78406",0.75,0.833333333333333,1,1,0.666666666666667,1,1,0.75,1,0.833333333333333,1,0.75,0.666666666666667,0.75,1,1,0.666666666666667,1,0.75,0.75,0.833333333333333,1,0.666666666666667,1,0.833333333333333,0.952380952380952,0.952380952380952
"stu_17f3d2ea68.1",1,0.8,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0.833333333333333,0.666666666666667
"stu_de29e1fe2b",1,1,1,0.714285714285714,1,1,1,1,1,1,1,1,1,0.875,1,1,1,1,0.875,1,1,1,1,1,1,0.833333333333333,0.75
"stu_2e94ec2fb6",1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1
"stu_5496cc6110.1",1,0.8,1,1,0.75,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.916666666666667
"stu_2dd71d5afc",1,1,0.75,0.75,1,1,0.75,1,1,1,0.75,1,1,1,1,1,1,1,1,1,0.75,1,0.666666666666667,1,1,0.875,0.8125
"stu_8f8740205e",1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1
"stu_3ca546ef25",1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875
"stu_b2b3753192.1",1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9
"stu_d005ce9e43.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,0.75,0.8,1,0.75,0.846153846153846
"stu_f4fbafebc5.3",1,1,1,0.9,0.833333333333333,1,1,0.833333333333333,1,1,0.545454545454545,0.833333333333333,1,1,0.666666666666667,1,1,1,1,0.833333333333333,1,1,0.8,1,1,0.64,0.64
"stu_31974f345f.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.875,1
"stu_31974f345f.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.875,1
"stu_c03744a628.1",1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_39e612e0e3",1,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.571428571428571,1,0.857142857142857,1,1,1
"stu_44b3319226.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
"stu_96a362e172",1,1,0.666666666666667,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.75,0.75,1,1,0.9375,0.75
"stu_ddf73db3fd.2",1,1,1,0.8,0.666666666666667,1,1,1,0.625,1,0.666666666666667,1,1,1,1,0.625,1,0.571428571428571,1,0.666666666666667,1,0.875,1,0.875,1,0.846153846153846,0.692307692307692
"stu_c9f1568136.1",0.666666666666667,0.75,1,0.666666666666667,1,1,1,0.666666666666667,1,1,0.9,0.666666666666667,1,1,0.571428571428571,1,1,1,1,1,1,1,1,1,1,0.826086956521739,0.739130434782609
"stu_2f0770ed7b.1",1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1
"stu_ed45ec6d21.1",1,1,1,1,1,0.833333333333333,0.5,0.6,0.75,0.666666666666667,0.75,0.833333333333333,1,1,0.5,1,0.571428571428571,0.8,1,0.8,0.857142857142857,1,1,1,1,0.884615384615385,0.769230769230769
"stu_2f61eef8c5.1",0.75,1,1,0.833333333333333,0.5,1,1,0.75,1,1,0.6,1,1,1,0.75,1,1,1,0.833333333333333,1,1,1,1,1,1,0.8,0.647058823529412
"stu_d80e206e62.2",1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_c03e1a19c7",1,1,0.75,0.75,1,1,1,1,1,0.75,0.75,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.647058823529412,0.705882352941177
"stu_35eb97571b",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,1,0.6,1,1,0.75,1,1,0.833333333333333,0.666666666666667
"stu_65974fac1e.1",1,1,1,1,0.4,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,1,0.909090909090909,0.818181818181818
"stu_19bc457cf6.1",1,1,1,1,1,0.75,0.6,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.9375,0.9375
"stu_8ca870d3b6",1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.909090909090909,0.818181818181818
"stu_8bd0ce0694.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,0.9,0.6
"stu_15e76e3ad2.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1
"stu_d6b6f9ccba.3",1,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,0.833333333333333,1,0.666666666666667,1,0.666666666666667,1,0.833333333333333,1,1,0.75
"stu_7d47e049d3.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_6b6d4e3ef4.1",1,1,0.75,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.818181818181818,0.636363636363636
"stu_c854f45c2d",1,1,1,1,0.875,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,1,0.714285714285714,0.7,0.8
"stu_7edc8cc4d9",1,1,1,1,0.6,1,1,1,1,1,0.75,1,1,1,1,1,1,0.75,1,1,1,0.75,1,1,1,0.733333333333333,0.866666666666667
"stu_0df04c1962",0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.75,1,1,1,1,1,1,1,1,1
"stu_208b15486a.1",1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0.8,1,1,1,0.857142857142857,1,1,1,0.80952380952381,0.666666666666667
"stu_8f8740205e.1",1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1
"stu_6f0e94623c.2",0.75,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_f6418c1b8f.2",0.571428571428571,0.75,1,0.8,1,1,1,0.8,1,1,1,0.857142857142857,0.875,1,0.875,1,1,1,0.857142857142857,1,1,1,0.625,1,1,0.576923076923077,0.461538461538462
"stu_3c2d5caa5b",1,1,1,0.666666666666667,1,1,0.833333333333333,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.75
"stu_f3bf99ea04",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,1
"stu_74d48c5926.2",1,0.833333333333333,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,0.933333333333333,0.8
"stu_358ee4937c.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
"stu_db7750f35e",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_fea015c39e.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
"stu_0737cd750a",1,1,1,0.75,1,1,1,1,1,1,1,1,1,0.75,1,1,1,0.6,0.75,1,1,1,1,1,1,1,0.916666666666667
"stu_6058aea8d7.2",1,1,1,0.666666666666667,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,0.875,1,1,1,0.6,1,1,1,0.857142857142857,0.857142857142857
"stu_e55ecf563b.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_184046d7dc.2",1,0.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,0.8,1,1,0.846153846153846,0.692307692307692
"stu_3b17bd3b58.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
"stu_7550c5a003.1",1,0.75,1,1,1,1,1,0.75,0.75,1,1,1,1,1,1,1,1,0.75,1,1,1,0.75,1,1,0.75,0.928571428571429,1
"stu_90322ae586.3",0.8,0.75,1,0.5,1,1,1,0.833333333333333,1,1,0.5,1,0.75,1,1,1,1,1,1,1,1,0.8,1,0.875,1,0.652173913043478,0.652173913043478
"stu_e18a227e47.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_93b110e3b7.1",0.666666666666667,1,1,1,0.75,1,1,0.833333333333333,1,1,1,0.666666666666667,1,1,1,1,1,1,1,1,1,0.75,0.75,1,0.75,1,0.9375
"stu_ef20fcd668",1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,0.846153846153846,0.923076923076923
"stu_b232e2abe0.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,0.666666666666667
"stu_d2cff841af",1,1,0.833333333333333,0.833333333333333,0.75,1,1,0.666666666666667,1,0.8,0.833333333333333,1,1,0.666666666666667,1,1,1,1,1,1,1,1,0.8,1,1,0.92,0.84
"stu_533e0892da.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.75,1,1,0.75,1,1,1,0.916666666666667,0.666666666666667
"stu_36d4abae08",1,1,1,1,0.666666666666667,1,1,1,0.8,1,1,1,1,1,1,0.8,1,0.666666666666667,1,1,1,0.666666666666667,1,0.8,1,0.923076923076923,0.857142857142857
"stu_b839d23278",1,1,0.75,1,1,0.75,0.75,1,1,1,0.8,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,0.75,0.583333333333333
"stu_24d9f2686f.1",1,0.888888888888889,1,0.6,0.833333333333333,1,1,1,1,0.666666666666667,0.8,1,0.888888888888889,1,1,1,1,0.6,1,0.75,1,1,0.777777777777778,0.8,1,1,0.923076923076923
"stu_70af52ce6a",0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.8,1,1,1,1,1,1,0.705882352941177
"stu_8dfcdbff60.3",1,0.833333333333333,0.857142857142857,1,0.8,0.571428571428571,1,1,0.75,0.857142857142857,1,1,1,1,1,1,0.857142857142857,0.75,1,1,1,0.75,1,1,1,0.894736842105263,0.736842105263158
"stu_0984e9de1b.2",0.75,1,1,1,1,1,1,0.8,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_689a4721fc.1",0.714285714285714,1,1,0.333333333333333,1,1,0.666666666666667,0.833333333333333,1,1,1,1,1,0.666666666666667,0.428571428571429,1,1,1,1,0.833333333333333,1,1,1,1,1,0.909090909090909,0.818181818181818
"stu_f49cda7df0.1",1,0.777777777777778,1,1,0.625,1,1,1,1,1,0.6,1,1,0.6,1,1,1,1,1,1,1,0.5,1,0.75,0.9,0.952380952380952,1
"stu_9bef574101.1",0.75,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.727272727272727
"stu_5732759cdb.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_f0e102db86",1,1,1,0.5,0.75,1,1,1,0.75,1,0.5,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,0.916666666666667,1
"stu_4f72638a3e",0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,0.833333333333333,1,1,1,0.642857142857143,0.5
"stu_b9d3b35a64",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_b039b20626",0.6,1,0.625,1,1,1,1,0.8,1,0.888888888888889,1,0.8,1,1,1,0.875,0.666666666666667,0.875,1,0.8,0.888888888888889,0.833333333333333,1,1,1,0.875,0.875
"stu_87ebf01eb5",1,1,1,0.666666666666667,1,1,1,1,1,1,0.333333333333333,1,0.5,1,1,1,1,1,0.333333333333333,1,1,1,0.8,1,1,0.636363636363636,0.545454545454545
"stu_601d01cdcb",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_39c38dfbb8.1",1,0.8,1,0.833333333333333,0.8,1,0.714285714285714,1,0.5,0.6,0.5,1,0.8,0.666666666666667,1,0.857142857142857,0.8,1,1,1,1,0.666666666666667,1,0.571428571428571,1,0.772727272727273,0.818181818181818
"stu_eb9aca0b31.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_6bcebb85b7.2",1,0.5,0.666666666666667,0.5,0.75,1,0.8,1,1,1,0.833333333333333,1,0.75,1,1,1,1,1,0.714285714285714,1,1,1,1,1,1,0.681818181818182,0.681818181818182
"stu_fe4a51988c.1",1,1,0.833333333333333,0.75,1,0.666666666666667,0.75,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,0.75,1,0.75,1,0.9375,1
"stu_37fde35c2a.1",1,1,0.75,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,0.875
"stu_e20ec3bdca",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0.75,1,1,1,0.75,0.75
"stu_8ebb688310",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,0.818181818181818
"stu_ee7d10916e.2",1,0.75,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.818181818181818,0.636363636363636
"stu_4d23a5a2b9.1",1,1,0.75,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_d91a617dc3.1",0.888888888888889,1,1,1,1,1,1,0.857142857142857,1,1,1,0.818181818181818,1,1,0.909090909090909,1,1,0.75,0.75,0.909090909090909,1,1,1,1,1,0.916666666666667,1
"stu_eb4576a7d5.1",1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875
"stu_55777466b4.1",0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,0.923076923076923,0.846153846153846
"stu_a0011de240.2",1,1,0.6,1,0.75,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_f5c9febac4.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_6b31a520de.1",1,0.75,1,1,1,1,1,1,1,1,1,0.75,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_4dae7e7dd0",1,1,1,1,1,1,0.75,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,0.6,1,1,1,1,0.75
"stu_20343f83d6.1",1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,0.875,0.75
"stu_08a65c09ab",1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,0.833333333333333
"stu_6058aea8d7.3",1,1,1,0.666666666666667,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,0.875,1,1,1,0.6,1,1,1,0.857142857142857,0.857142857142857
"stu_73acbcb079.1",1,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.833333333333333,1,1,1,1,1,0.923076923076923
"stu_78be38398e",1,1,0.75,0.571428571428571,1,1,0.857142857142857,1,1,0.75,0.857142857142857,1,1,0.857142857142857,1,1,1,1,0.714285714285714,1,0.75,0.75,1,0.75,1,1,0.823529411764706
"stu_8249ba0e39.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_59e3611d77.3",1,1,1,1,1,1,1,1,0.75,0.75,1,1,1,1,1,1,0.8,0.875,1,1,0.8,0.7,1,1,1,1,0.944444444444444
"stu_4f15f2abf7",1,1,1,0.75,0,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,0.714285714285714,0.428571428571429
"stu_a588fbe18b.3",1,0.625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.866666666666667
"stu_ae990155ce.3",1,0,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,0.666666666666667,1,0.666666666666667,1,1,1,0.25,1,1,1,0.714285714285714,1
"stu_60d4b84491",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_6d184c31ae.1",1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.875,0.875
"stu_dcf292622c.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1
"stu_d02d9da241",0.714285714285714,0.714285714285714,0.75,1,0.714285714285714,1,1,0.666666666666667,1,0.75,0.571428571428571,0.714285714285714,0.857142857142857,1,0.571428571428571,1,0.75,1,1,0.857142857142857,1,1,0.571428571428571,1,1,0.923076923076923,0.846153846153846
"stu_0bf8b58842.3",1,1,0.8,1,1,1,1,1,1,1,0.6,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1
"stu_f6cb41558d.1",0.666666666666667,1,0.666666666666667,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,0.833333333333333,1,1,0.807692307692308,0.5
"stu_a4e83d3520.2",1,0.833333333333333,0.666666666666667,1,0.8,1,0.75,1,1,1,1,1,0.666666666666667,1,1,1,1,0.833333333333333,1,1,1,0.666666666666667,1,1,1,0.869565217391304,0.956521739130435
"stu_d87ef6216f.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6
"stu_84fc9f207b.2",1,1,1,1,0.833333333333333,1,1,1,1,1,0.75,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,0.923076923076923,0.923076923076923
"stu_ed6c1898e6.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,0.75,1,1,1
"stu_2839db4abf",0.625,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,1,1,1,1,1,1,0.916666666666667
"stu_28910213a2",1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.636363636363636,1
"stu_5802804f1b.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_07030d9159.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,0.866666666666667,0.733333333333333
"stu_347f991f1a.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
"stu_aa1ebee8c8",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,1
"stu_5c6dd20e66.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
"stu_c66473a760",1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.818181818181818,0.636363636363636
"stu_9aba5c9302.2",1,1,1,0.8,1,1,0.833333333333333,1,1,1,0.666666666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.785714285714286,0.642857142857143
"stu_e36790b02e.2",1,1,0.5,1,0.6,0.75,1,1,1,1,1,1,1,1,0.666666666666667,1,1,0.875,1,1,1,1,1,1,1,0.807692307692308,0.807692307692308
"stu_5c7e91dc45",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_905b1a1718.1",0.75,0.833333333333333,0.75,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,0.666666666666667,1,1,1,1,0.833333333333333,0.8125,0.6875
"stu_59e3611d77.4",1,1,1,1,1,1,1,1,0.75,0.75,1,1,1,1,1,1,0.8,0.875,1,1,0.8,0.7,1,1,1,1,0.944444444444444
"stu_1534fd0e18.1",1,1,0.75,0.5,0.75,0.75,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1
"stu_65697733a7.1",1,1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.909090909090909,1
"stu_9c664fd9ab.3",1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,0.714285714285714,0.714285714285714
"stu_9d898659ad.1",1,1,0.75,1,0.75,0.75,1,0.75,1,1,1,0.75,1,1,0.75,1,1,0.714285714285714,1,1,1,0.714285714285714,0.75,0.857142857142857,1,0.55,0.7
"stu_d4008c5be8.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_082de3abc3.1",1,0.75,0.75,1,0.8,1,0.75,1,1,1,1,1,1,1,1,1,0.75,1,0.75,1,1,0.75,1,0.75,1,0.888888888888889,0.888888888888889
"stu_d7170d7b87",1,0.6,1,1,0.8,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_78981c5ed0.3",0.75,1,1,1,1,1,1,1,1,1,1,0.75,1,1,0.75,0.75,1,1,1,1,1,1,1,1,1,0.909090909090909,0.636363636363636
"stu_fea015c39e.2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8
"stu_3ceaf445b6.3",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.666666666666667,1,1,1,1,1,1,1,0.857142857142857,0.857142857142857
"stu_ee4c52db12",1,1,0.75,0.833333333333333,1,1,1,1,1,1,0.857142857142857,1,1,1,1,1,1,1,0.571428571428571,1,1,1,1,1,1,1,0.857142857142857
"stu_c393989952.1",0.8,1,1,1,1,0.75,1,0.857142857142857,0.777777777777778,0.75,1,0.5,1,1,0.666666666666667,0.888888888888889,1,1,1,0.888888888888889,1,0.625,1,1,1,0.769230769230769,0.461538461538462
"stu_74b47bf274",1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_a1eab2b1dc",1,1,0.75,0.75,0.333333333333333,1,0.75,1,0.75,1,1,0.75,1,1,1,0.75,1,1,1,1,0.75,0.75,0.666666666666667,1,1,0.631578947368421,0.631578947368421
"stu_7f4819cebe.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8
"stu_030546a44a.1",1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_73bcf259dc.1",1,1,0.8,1,0.6,1,0.6,1,0.75,0.6,1,1,1,1,1,0.75,1,1,1,1,1,0.75,0.8,1,1,1,1
"stu_a8a1935a12",1,1,1,0.666666666666667,1,1,0.833333333333333,1,0.75,1,1,1,1,0.833333333333333,1,1,1,0.75,1,1,1,0.75,1,1,1,0.923076923076923,0.923076923076923
"stu_b9d3b35a64.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"stu_8cdc8db7f3",1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333333333
"stu_dfa4336030",0.571428571428571,1,1,0.75,1,0.75,1,1,0.833333333333333,1,1,0.833333333333333,1,1,0.833333333333333,0.833333333333333,1,1,1,1,1,0.666666666666667,1,1,1,0.952380952380952,1
"stu_d0757edc86.2",1,1,0.75,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,1,1,1,0.928571428571429,0.785714285714286
"stu_c95cdbe6f1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.75,1,0.75,1,1,1,0.75,1,1,1,0.75,0.875
"stu_8e6fd2d8ba.2",1,1,1,1,1,1,1,1,1,1,0.75,1,1,1,1,1,1,1,1,1,1,0.75,1,0.75,1,0.909090909090909,0.909090909090909
"stu_9c62300091.1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
